Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P1,30.00,0.00,0.00,0.00,9.1222e-08,3.2465e-07,1.0661e-06,5.8332e-06,1.1465e-05,1.1453e-05,8.7786e-06,8.9756e-08,2.9439e-07,7.7752e-07,5.8871e-06,1.0105e-05,1.1387e-05,1.0056e-05
P1,30.00,90.00,30.00,0.00,8.7948e-08,3.2465e-07,1.0661e-06,5.8332e-06,1.1465e-05,1.1453e-05,8.7786e-06,8.6658e-08,2.9439e-07,7.7752e-07,5.8871e-06,1.0105e-05,1.1387e-05,1.0056e-05
P1,30.00,135.00,0.00,0.00,9.1222e-08,3.2465e-07,1.0661e-06,5.8332e-06,1.1465e-05,1.1453e-05,8.7786e-06,8.9756e-08,2.9439e-07,7.7752e-07,5.8871e-06,1.0105e-05,1.1387e-05,1.0056e-05
P1,60.00,180.00,0.00,0.00,9.1167e-08,2.7294e-07,9.1855e-07,5.5111e-06,1.1045e-05,1.1033e-05,7.7369e-06,8.9688e-08,2.4676e-07,6.6790e-07,5.5889e-06,9.8134e-06,1.0991e-05,9.1440e-06
P1,0.00,0.00,30.00,0.00,8.5651e-08,3.3918e-07,1.1070e-06,5.9016e-06,1.1549e-05,1.1536e-05,9.0379e-06,8.4453e-08,3.0783e-07,8.0771e-07,5.9496e-06,1.0160e-05,1.1465e-05,1.0270e-05
P1,60.00,90.00,30.00,0.00,8.9609e-08,2.7294e-07,9.1855e-07,5.5111e-06,1.1045e-05,1.1033e-05,7.7369e-06,8.8223e-08,2.4676e-07,6.6790e-07,5.5889e-06,9.8134e-06,1.0991e-05,9.1440e-06
P1,30.00,0.00,60.00,0.00,8.2132e-08,3.2465e-07,1.0661e-06,5.8334e-06,1.1465e-05,1.1453e-05,8.7786e-06,8.1297e-08,2.9439e-07,7.7752e-07,5.8873e-06,1.0105e-05,1.1387e-05,1.0056e-05
P1,0.00,90.00,30.00,0.00,8.5651e-08,3.3918e-07,1.1070e-06,5.9016e-06,1.1549e-05,1.1536e-05,9.0379e-06,8.4453e-08,3.0783e-07,8.0771e-07,5.9496e-06,1.0160e-05,1.1465e-05,1.0270e-05
P1,60.00,45.00,30.00,0.00,1.0094e-07,2.7295e-07,9.1855e-07,5.5115e-06,1.1045e-05,1.1033e-05,7.7369e-06,9.9244e-08,2.4676e-07,6.6790e-07,5.5893e-06,9.8135e-06,1.0991e-05,9.1440e-06
P1,30.00,180.00,0.00,0.00,9.1222e-08,3.2465e-07,1.0661e-06,5.8332e-06,1.1465e-05,1.1453e-05,8.7786e-06,8.9756e-08,2.9439e-07,7.7752e-07,5.8871e-06,1.0105e-05,1.1387e-05,1.0056e-05
P1,30.00,45.00,30.00,0.00,9.1907e-08,3.2465e-07,1.0661e-06,5.8334e-06,1.1465e-05,1.1453e-05,8.7786e-06,9.0498e-08,2.9439e-07,7.7752e-07,5.8872e-06,1.0105e-05,1.1387e-05,1.0056e-05
P1,0.00,0.00,60.00,0.00,6.9503e-08,3.3918e-07,1.1070e-06,5.9014e-06,1.1549e-05,1.1536e-05,9.0379e-06,6.9049e-08,3.0783e-07,8.0771e-07,5.9494e-06,1.0160e-05,1.1464e-05,1.0270e-05
P1,30.00,45.00,0.00,0.00,9.1222e-08,3.2465e-07,1.0661e-06,5.8332e-06,1.1465e-05,1.1453e-05,8.7786e-06,8.9756e-08,2.9439e-07,7.7752e-07,5.8871e-06,1.0105e-05,1.1387e-05,1.0056e-05
P1,60.00,0.00,30.00,0.00,1.0756e-07,2.7295e-07,9.1855e-07,5.5118e-06,1.1045e-05,1.1033e-05,7.7369e-06,1.0569e-07,2.4676e-07,6.6790e-07,5.5896e-06,9.8135e-06,1.0991e-05,9.1440e-06
P1,60.00,90.00,0.00,0.00,9.1167e-08,2.7294e-07,9.1855e-07,5.5111e-06,1.1045e-05,1.1033e-05,7.7369e-06,8.9688e-08,2.4676e-07,6.6790e-07,5.5889e-06,9.8134e-06,1.0991e-05,9.1440e-06
P1,60.00,135.00,30.00,0.00,8.2135e-08,2.7294e-07,9.1855e-07,5.5108e-06,1.1045e-05,1.1033e-05,7.7369e-06,8.0968e-08,2.4676e-07,6.6790e-07,5.5886e-06,9.8133e-06,1.0991e-05,9.1440e-06
P1,30.00,90.00,0.00,0.00,9.1222e-08,3.2465e-07,1.0661e-06,5.8332e-06,1.1465e-05,1.1453e-05,8.7786e-06,8.9756e-08,2.9439e-07,7.7752e-07,5.8871e-06,1.0105e-05,1.1387e-05,1.0056e-05
P1,0.00,135.00,30.00,0.00,8.5651e-08,3.3918e-07,1.1070e-06,5.9016e-06,1.1549e-05,1.1536e-05,9.0379e-06,8.4453e-08,3.0783e-07,8.0771e-07,5.9496e-06,1.0160e-05,1.1465e-05,1.0270e-05
P1,60.00,90.00,60.00,0.00,7.6506e-08,2.7294e-07,9.1855e-07,5.5109e-06,1.1045e-05,1.1033e-05,7.7369e-06,7.5686e-08,2.4676e-07,6.6790e-07,5.5886e-06,9.8133e-06,1.0991e-05,9.1439e-06
P1,60.00,0.00,60.00,0.00,1.2593e-07,2.7295e-07,9.1855e-07,5.5131e-06,1.1045e-05,1.1033e-05,7.7369e-06,1.2393e-07,2.4676e-07,6.6790e-07,5.5911e-06,9.8138e-06,1.0992e-05,9.1440e-06
P1,60.00,45.00,60.00,0.00,1.0130e-07,2.7294e-07,9.1855e-07,5.5118e-06,1.1045e-05,1.1033e-05,7.7369e-06,9.9850e-08,2.4676e-07,6.6790e-07,5.5897e-06,9.8135e-06,1.0991e-05,9.1440e-06
P1,60.00,180.00,30.00,0.00,7.9738e-08,2.7294e-07,9.1855e-07,5.5108e-06,1.1045e-05,1.1033e-05,7.7369e-06,7.8643e-08,2.4676e-07,6.6790e-07,5.5885e-06,9.8133e-06,1.0991e-05,9.1440e-06
P1,60.00,135.00,0.00,0.00,9.1167e-08,2.7294e-07,9.1855e-07,5.5111e-06,1.1045e-05,1.1033e-05,7.7369e-06,8.9688e-08,2.4676e-07,6.6790e-07,5.5889e-06,9.8134e-06,1.0991e-05,9.1440e-06
P2,30.00,90.00,0.00,0.00,8.2277e-08,3.2540e-07,1.1396e-06,4.7809e-06,1.0083e-05,1.0069e-05,7.8274e-06,7.9875e-08,2.9368e-07,8.1498e-07,4.8221e-06,8.5847e-06,9.9764e-06,8.9432e-06
