Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P1,0.00,90.00,60.00,0.00,5.3160e-08,3.2892e-07,1.0308e-06,4.6944e-06,9.4745e-06,9.4619e-06,8.1928e-06,5.3295e-08,3.0032e-07,7.6660e-07,4.7165e-06,8.0857e-06,9.3630e-06,9.0408e-06
P1,30.00,0.00,0.00,0.00,6.7170e-08,3.1492e-07,9.8805e-07,4.5785e-06,9.2737e-06,9.2614e-06,7.9008e-06,6.7094e-08,2.8747e-07,7.3629e-07,4.6045e-06,7.9162e-06,9.1663e-06,8.7674e-06
P1,30.00,90.00,30.00,0.00,6.4302e-08,3.1486e-07,9.8795e-07,4.5784e-06,9.2737e-06,9.2613e-06,7.9008e-06,6.4281e-08,2.8742e-07,7.3619e-07,4.6043e-06,7.9160e-06,9.1662e-06,8.7674e-06
P1,30.00,135.00,0.00,0.00,6.7170e-08,3.1492e-07,9.8805e-07,4.5785e-06,9.2737e-06,9.2614e-06,7.9008e-06,6.7094e-08,2.8747e-07,7.3629e-07,4.6045e-06,7.9162e-06,9.1663e-06,8.7674e-06
P1,60.00,180.00,0.00,0.00,7.6753e-08,2.6475e-07,8.3583e-07,4.0073e-06,8.2824e-06,8.2714e-06,6.7447e-06,7.6628e-08,2.4154e-07,6.2775e-07,4.0448e-06,7.0664e-06,8.1915e-06,7.5954e-06
P1,0.00,0.00,30.00,0.00,6.2131e-08,3.2916e-07,1.0313e-06,4.6950e-06,9.4748e-06,9.4622e-06,8.1931e-06,6.2116e-08,3.0054e-07,7.6696e-07,4.7172e-06,8.0862e-06,9.3634e-06,9.0411e-06
P1,60.00,90.00,30.00,0.00,7.3482e-08,2.6469e-07,8.3570e-07,4.0071e-06,8.2823e-06,8.2713e-06,6.7447e-06,7.3397e-08,2.4148e-07,6.2765e-07,4.0446e-06,7.0662e-06,8.1914e-06,7.5953e-06
P1,30.00,0.00,60.00,0.00,5.4980e-08,3.1462e-07,9.8751e-07,4.5777e-06,9.2733e-06,9.2610e-06,7.9006e-06,5.5098e-08,2.8720e-07,7.3581e-07,4.6037e-06,7.9155e-06,9.1659e-06,8.7672e-06
P1,0.00,90.00,30.00,0.00,6.2131e-08,3.2916e-07,1.0313e-06,4.6950e-06,9.4748e-06,9.4622e-06,8.1931e-06,6.2116e-08,3.0054e-07,7.6696e-07,4.7172e-06,8.0862e-06,9.3634e-06,9.0411e-06
P1,60.00,45.00,30.00,0.00,7.3596e-08,2.6470e-07,8.3571e-07,4.0071e-06,8.2823e-06,8.2713e-06,6.7447e-06,7.3509e-08,2.4149e-07,6.2765e-07,4.0446e-06,7.0662e-06,8.1914e-06,7.5953e-06
P1,30.00,180.00,0.00,0.00,6.7170e-08,3.1492e-07,9.8805e-07,4.5785e-06,9.2737e-06,9.2614e-06,7.9008e-06,6.7094e-08,2.8747e-07,7.3629e-07,4.6045e-06,7.9162e-06,9.1663e-06,8.7674e-06
P1,30.00,45.00,30.00,0.00,6.4339e-08,3.1486e-07,9.8795e-07,4.5784e-06,9.2737e-06,9.2613e-06,7.9008e-06,6.4317e-08,2.8742e-07,7.3620e-07,4.6043e-06,7.9160e-06,9.1662e-06,8.7674e-06
P1,0.00,0.00,60.00,0.00,5.3160e-08,3.2892e-07,1.0308e-06,4.6944e-06,9.4745e-06,9.4619e-06,8.1928e-06,5.3295e-08,3.0032e-07,7.6660e-07,4.7165e-06,8.0857e-06,9.3630e-06,9.0408e-06
P1,30.00,45.00,0.00,0.00,6.7170e-08,3.1492e-07,9.8805e-07,4.5785e-06,9.2737e-06,9.2614e-06,7.9008e-06,6.7094e-08,2.8747e-07,7.3629e-07,4.6045e-06,7.9162e-06,9.1663e-06,8.7674e-06
P1,60.00,0.00,30.00,0.00,7.3643e-08,2.6470e-07,8.3572e-07,4.0071e-06,8.2823e-06,8.2713e-06,6.7447e-06,7.3555e-08,2.4149e-07,6.2766e-07,4.0446e-06,7.0662e-06,8.1914e-06,7.5953e-06
P1,60.00,90.00,0.00,0.00,7.6753e-08,2.6475e-07,8.3583e-07,4.0073e-06,8.2824e-06,8.2714e-06,6.7447e-06,7.6628e-08,2.4154e-07,6.2775e-07,4.0448e-06,7.0664e-06,8.1915e-06,7.5954e-06
P1,60.00,135.00,30.00,0.00,7.3367e-08,2.6469e-07,8.3570e-07,4.0071e-06,8.2823e-06,8.2713e-06,6.7447e-06,7.3285e-08,2.4148e-07,6.2764e-07,4.0446e-06,7.0662e-06,8.1914e-06,7.5953e-06
P1,30.00,90.00,0.00,0.00,6.7170e-08,3.1492e-07,9.8805e-07,4.5785e-06,9.2737e-06,9.2614e-06,7.9008e-06,6.7094e-08,2.8747e-07,7.3629e-07,4.6045e-06,7.9162e-06,9.1663e-06,8.7674e-06
P1,0.00,135.00,30.00,0.00,6.2131e-08,3.2916e-07,1.0313e-06,4.6950e-06,9.4748e-06,9.4622e-06,8.1931e-06,6.2116e-08,3.0054e-07,7.6696e-07,4.7172e-06,8.0862e-06,9.3634e-06,9.0411e-06
P1,60.00,90.00,60.00,0.00,6.2189e-08,2.6445e-07,8.3514e-07,4.0062e-06,8.2818e-06,8.2708e-06,6.7445e-06,6.2212e-08,2.4127e-07,6.2720e-07,4.0436e-06,7.0655e-06,8.1909e-06,7.5951e-06
P1,60.00,0.00,60.00,0.00,6.2701e-08,2.6447e-07,8.3518e-07,4.0062e-06,8.2819e-06,8.2708e-06,6.7445e-06,6.2721e-08,2.4128e-07,6.2723e-07,4.0437e-06,7.0656e-06,8.1909e-06,7.5951e-06
P1,60.00,45.00,60.00,0.00,6.2553e-08,2.6446e-07,8.3517e-07,4.0062e-06,8.2818e-06,8.2708e-06,6.7445e-06,6.2574e-08,2.4128e-07,6.2722e-07,4.0437e-06,7.0655e-06,8.1909e-06,7.5951e-06
P1,60.00,180.00,30.00,0.00,7.3320e-08,2.6469e-07,8.3569e-07,4.0071e-06,8.2823e-06,8.2713e-06,6.7447e-06,7.3238e-08,2.4148e-07,6.2764e-07,4.0446e-06,7.0662e-06,8.1914e-06,7.5953e-06
P1,60.00,135.00,0.00,0.00,7.6753e-08,2.6475e-07,8.3583e-07,4.0073e-06,8.2824e-06,8.2714e-06,6.7447e-06,7.6628e-08,2.4154e-07,6.2775e-07,4.0448e-06,7.0664e-06,8.1915e-06,7.5954e-06
P2,30.00,90.00,0.00,0.00,6.2194e-08,2.9291e-07,9.7135e-07,4.1502e-06,8.6602e-06,8.6482e-06,6.9578e-06,6.2105e-08,2.6619e-07,7.0572e-07,4.1885e-06,7.3487e-06,8.5658e-06,7.8182e-06
P2,0.00,180.00,0.00,0.00,5.9942e-08,3.0966e-07,1.0289e-06,4.3011e-06,8.9159e-06,8.9036e-06,7.2310e-06,5.9882e-08,2.8131e-07,7.4829e-07,4.3366e-06,7.5749e-06,8.8179e-06,8.1057e-06
P2,30.00,180.00,0.00,0.00,6.2194e-08,2.9291e-07,9.7135e-07,4.1502e-06,8.6602e-06,8.6482e-06,6.9578e-06,6.2105e-08,2.6619e-07,7.0572e-07,4.1885e-06,7.3487e-06,8.5658e-06,7.8182e-06
P2,30.00,0.00,0.00,0.00,6.2194e-08,2.9291e-07,9.7135e-07,4.1502e-06,8.6602e-06,8.6482e-06,6.9578e-06,6.2105e-08,2.6619e-07,7.0572e-07,4.1885e-06,7.3487e-06,8.5658e-06,7.8182e-06
P2,0.00,0.00,0.00,0.00,5.9942e-08,3.0966e-07,1.0289e-06,4.3011e-06,8.9159e-06,8.9036e-06,7.2310e-06,5.9882e-08,2.8131e-07,7.4829e-07,4.3366e-06,7.5749e-06,8.8179e-06,8.1057e-06
P2,30.00,180.00,60.00,0.00,5.2374e-08,2.9214e-07,9.7064e-07,4.1494e-06,8.6598e-06,8.6477e-06,6.9575e-06,5.2387e-08,2.6542e-07,7.0500e-07,4.1877e-06,7.3481e-06,8.5653e-06,7.8180e-06
P2,60.00,180.00,0.00,0.00,7.1772e-08,2.3945e-07,7.6369e-07,3.4482e-06,7.4422e-06,7.4313e-06,5.9339e-06,7.1537e-08,2.1878e-07,5.5898e-07,3.4906e-06,6.2618e-06,7.3607e-06,6.6398e-06
P2,0.00,0.00,60.00,0.00,5.0900e-08,3.0897e-07,1.0282e-06,4.3004e-06,8.9155e-06,8.9032e-06,7.2307e-06,5.0945e-08,2.8062e-07,7.4765e-07,4.3358e-06,7.5743e-06,8.8174e-06,8.1055e-06
P2,0.00,45.00,0.00,0.00,5.9942e-08,3.0966e-07,1.0289e-06,4.3011e-06,8.9159e-06,8.9036e-06,7.2310e-06,5.9882e-08,2.8131e-07,7.4829e-07,4.3366e-06,7.5749e-06,8.8179e-06,8.1057e-06
