Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,60.00,135.00,55.00,0.00,6.8067e-07,8.4803e-07,9.7206e-07,7.6213e-09,6.9941e-07,2.9455e-07,6.9321e-07,8.4657e-07,9.7430e-07,5.4960e-09,7.0296e-07,2.9470e-07
P0,0.00,180.00,30.00,0.00,9.9475e-07,1.3507e-06,1.5353e-06,1.0030e-08,1.0402e-06,4.0800e-07,1.0119e-06,1.3503e-06,1.5370e-06,5.8408e-09,1.0460e-06,4.0815e-07
P0,0.00,90.00,0.00,0.00,1.1634e-06,1.5855e-06,1.7975e-06,1.2015e-08,1.1999e-06,4.6299e-07,1.1834e-06,1.5852e-06,1.7994e-06,7.0317e-09,1.2067e-06,4.6314e-07
P0,60.00,90.00,60.00,0.00,5.8720e-07,7.6051e-07,8.9491e-07,6.8468e-09,6.7455e-07,2.9559e-07,5.9791e-07,7.5849e-07,8.9698e-07,4.8776e-09,6.7793e-07,2.9580e-07
P0,30.00,135.00,45.00,0.00,8.0564e-07,1.0660e-06,1.2124e-06,7.9067e-09,8.3983e-07,3.3814e-07,8.1977e-07,1.0654e-06,1.2142e-06,4.7894e-09,8.4436e-07,3.3822e-07
P0,0.00,135.00,60.00,0.00,5.3674e-07,7.1051e-07,8.1804e-07,5.1695e-09,5.7418e-07,2.3399e-07,5.4623e-07,7.0967e-07,8.1950e-07,3.1929e-09,5.7737e-07,2.3410e-07
P0,30.00,45.00,0.00,0.00,1.1484e-06,1.5591e-06,1.7723e-06,1.1554e-08,1.2012e-06,4.7117e-07,1.1682e-06,1.5586e-06,1.7743e-06,6.7296e-09,1.2079e-06,4.7136e-07
P0,0.00,0.00,45.00,0.00,7.9487e-07,1.0718e-06,1.2233e-06,7.7926e-09,8.4299e-07,3.3733e-07,8.0868e-07,1.0712e-06,1.2249e-06,4.5630e-09,8.4762e-07,3.3739e-07
P0,45.00,180.00,55.00,0.00,6.6991e-07,8.4617e-07,9.5878e-07,6.8610e-09,6.7289e-07,2.7609e-07,6.8202e-07,8.4539e-07,9.6059e-07,4.6092e-09,6.7642e-07,2.7620e-07
P0,60.00,45.00,55.00,0.00,6.9542e-07,9.4006e-07,1.1241e-06,7.8675e-09,8.8829e-07,4.0731e-07,7.0783e-07,9.3724e-07,1.1262e-06,5.1881e-09,8.9257e-07,4.0748e-07
P0,0.00,135.00,0.00,0.00,1.1634e-06,1.5855e-06,1.7975e-06,1.2015e-08,1.1999e-06,4.6299e-07,1.1834e-06,1.5852e-06,1.7994e-06,7.0317e-09,1.2067e-06,4.6314e-07
P0,0.00,180.00,45.00,0.00,7.9487e-07,1.0718e-06,1.2233e-06,7.7926e-09,8.4299e-07,3.3733e-07,8.0868e-07,1.0712e-06,1.2249e-06,4.5630e-09,8.4762e-07,3.3739e-07
P0,0.00,45.00,0.00,0.00,1.1634e-06,1.5855e-06,1.7975e-06,1.2015e-08,1.1999e-06,4.6299e-07,1.1834e-06,1.5852e-06,1.7994e-06,7.0317e-09,1.2067e-06,4.6314e-07
P0,0.00,45.00,60.00,0.00,5.3674e-07,7.1051e-07,8.1804e-07,5.1695e-09,5.7418e-07,2.3399e-07,5.4623e-07,7.0967e-07,8.1950e-07,3.1929e-09,5.7737e-07,2.3410e-07
P0,0.00,0.00,60.00,0.00,5.3674e-07,7.1051e-07,8.1804e-07,5.1695e-09,5.7418e-07,2.3399e-07,5.4623e-07,7.0967e-07,8.1950e-07,3.1929e-09,5.7737e-07,2.3410e-07
P0,30.00,90.00,45.00,0.00,8.0129e-07,1.0774e-06,1.2335e-06,7.8971e-09,8.6570e-07,3.5343e-07,8.1527e-07,1.0766e-06,1.2352e-06,4.6803e-09,8.7031e-07,3.5352e-07
P0,30.00,135.00,55.00,0.00,6.4408e-07,8.4065e-07,9.5911e-07,6.3327e-09,6.7106e-07,2.7331e-07,6.5551e-07,8.3990e-07,9.6073e-07,3.9843e-09,6.7468e-07,2.7339e-07
P0,45.00,0.00,55.00,0.00,6.8358e-07,9.3930e-07,1.1080e-06,7.1763e-09,8.5112e-07,3.8204e-07,6.9555e-07,9.3735e-07,1.1095e-06,4.3203e-09,8.5526e-07,3.8219e-07
