Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P1,0.00,180.00,0.00,0.00,7.2913e-08,3.3913e-07,1.1069e-06,5.8346e-06,1.1431e-05,1.1418e-05,9.0023e-06,7.1996e-08,3.0782e-07,8.0769e-07,5.8815e-06,1.0053e-05,1.1345e-05,1.0205e-05
P1,0.00,90.00,0.00,0.00,7.2913e-08,3.3913e-07,1.1069e-06,5.8346e-06,1.1431e-05,1.1418e-05,9.0023e-06,7.1996e-08,3.0782e-07,8.0769e-07,5.8815e-06,1.0053e-05,1.1345e-05,1.0205e-05
P1,30.00,135.00,30.00,0.00,7.0023e-08,3.2459e-07,1.0660e-06,5.7616e-06,1.1343e-05,1.1330e-05,8.7459e-06,6.9203e-08,2.9439e-07,7.7751e-07,5.8141e-06,9.9921e-06,1.1263e-05,9.9919e-06
P1,30.00,0.00,30.00,0.00,7.8453e-08,3.2459e-07,1.0660e-06,5.7620e-06,1.1343e-05,1.1330e-05,8.7459e-06,7.7305e-08,2.9439e-07,7.7751e-07,5.8146e-06,9.9922e-06,1.1263e-05,9.9920e-06
P1,0.00,45.00,0.00,0.00,7.2913e-08,3.3913e-07,1.1069e-06,5.8346e-06,1.1431e-05,1.1418e-05,9.0023e-06,7.1996e-08,3.0782e-07,8.0769e-07,5.8815e-06,1.0053e-05,1.1345e-05,1.0205e-05
P1,30.00,180.00,60.00,0.00,5.8600e-08,3.2459e-07,1.0660e-06,5.7614e-06,1.1343e-05,1.1330e-05,8.7459e-06,5.8362e-08,2.9439e-07,7.7751e-07,5.8140e-06,9.9921e-06,1.1263e-05,9.9919e-06
P1,0.00,135.00,0.00,0.00,7.2913e-08,3.3913e-07,1.1069e-06,5.8346e-06,1.1431e-05,1.1418e-05,9.0023e-06,7.1996e-08,3.0782e-07,8.0769e-07,5.8815e-06,1.0053e-05,1.1345e-05,1.0205e-05
P1,0.00,180.00,30.00,0.00,7.1075e-08,3.3912e-07,1.1069e-06,5.8346e-06,1.1431e-05,1.1418e-05,9.0023e-06,7.0252e-08,3.0782e-07,8.0769e-07,5.8815e-06,1.0053e-05,1.1345e-05,1.0205e-05
P1,30.00,90.00,60.00,0.00,6.4131e-08,3.2459e-07,1.0660e-06,5.7616e-06,1.1343e-05,1.1330e-05,8.7459e-06,6.3679e-08,2.9439e-07,7.7751e-07,5.8142e-06,9.9921e-06,1.1263e-05,9.9919e-06
P1,60.00,180.00,60.00,0.00,5.5107e-08,2.7288e-07,9.1850e-07,5.4189e-06,1.0916e-05,1.0905e-05,7.7181e-06,5.4798e-08,2.4676e-07,6.6788e-07,5.4938e-06,9.6838e-06,1.0861e-05,9.0923e-06
P1,60.00,0.00,0.00,0.00,7.5333e-08,2.7289e-07,9.1850e-07,5.4197e-06,1.0916e-05,1.0905e-05,7.7181e-06,7.4158e-08,2.4676e-07,6.6788e-07,5.4946e-06,9.6839e-06,1.0861e-05,9.0923e-06
P1,0.00,135.00,60.00,0.00,6.2374e-08,3.3912e-07,1.1069e-06,5.8345e-06,1.1431e-05,1.1418e-05,9.0023e-06,6.2040e-08,3.0782e-07,8.0769e-07,5.8814e-06,1.0053e-05,1.1345e-05,1.0205e-05
P1,60.00,45.00,0.00,0.00,7.5333e-08,2.7289e-07,9.1850e-07,5.4197e-06,1.0916e-05,1.0905e-05,7.7181e-06,7.4158e-08,2.4676e-07,6.6788e-07,5.4946e-06,9.6839e-06,1.0861e-05,9.0923e-06
P1,0.00,45.00,30.00,0.00,7.1075e-08,3.3912e-07,1.1069e-06,5.8346e-06,1.1431e-05,1.1418e-05,9.0023e-06,7.0252e-08,3.0782e-07,8.0769e-07,5.8815e-06,1.0053e-05,1.1345e-05,1.0205e-05
P1,0.00,0.00,0.00,0.00,7.2913e-08,3.3913e-07,1.1069e-06,5.8346e-06,1.1431e-05,1.1418e-05,9.0023e-06,7.1996e-08,3.0782e-07,8.0769e-07,5.8815e-06,1.0053e-05,1.1345e-05,1.0205e-05
P1,30.00,45.00,60.00,0.00,7.0683e-08,3.2459e-07,1.0660e-06,5.7619e-06,1.1343e-05,1.1330e-05,8.7459e-06,6.9996e-08,2.9439e-07,7.7751e-07,5.8145e-06,9.9922e-06,1.1263e-05,9.9919e-06
P1,60.00,135.00,60.00,0.00,5.7857e-08,2.7288e-07,9.1850e-07,5.4192e-06,1.0916e-05,1.0905e-05,7.7181e-06,5.7453e-08,2.4676e-07,6.6788e-07,5.4940e-06,9.6838e-06,1.0861e-05,9.0923e-06
P1,0.00,180.00,60.00,0.00,6.2374e-08,3.3912e-07,1.1069e-06,5.8345e-06,1.1431e-05,1.1418e-05,9.0023e-06,6.2040e-08,3.0782e-07,8.0769e-07,5.8814e-06,1.0053e-05,1.1345e-05,1.0205e-05
P1,30.00,135.00,60.00,0.00,5.9923e-08,3.2459e-07,1.0660e-06,5.7614e-06,1.1343e-05,1.1330e-05,8.7459e-06,5.9631e-08,2.9439e-07,7.7751e-07,5.8140e-06,9.9921e-06,1.1263e-05,9.9919e-06
P1,0.00,90.00,60.00,0.00,6.2374e-08,3.3912e-07,1.1069e-06,5.8345e-06,1.1431e-05,1.1418e-05,9.0023e-06,6.2040e-08,3.0782e-07,8.0769e-07,5.8814e-06,1.0053e-05,1.1345e-05,1.0205e-05
P1,30.00,0.00,0.00,0.00,7.4186e-08,3.2459e-07,1.0660e-06,5.7617e-06,1.1343e-05,1.1330e-05,8.7459e-06,7.3163e-08,2.9439e-07,7.7751e-07,5.8143e-06,9.9921e-06,1.1263e-05,9.9919e-06
P1,30.00,90.00,30.00,0.00,7.3027e-08,3.2459e-07,1.0660e-06,5.7617e-06,1.1343e-05,1.1330e-05,8.7459e-06,7.2089e-08,2.9439e-07,7.7751e-07,5.8143e-06,9.9921e-06,1.1263e-05,9.9919e-06
P1,30.00,135.00,0.00,0.00,7.4186e-08,3.2459e-07,1.0660e-06,5.7617e-06,1.1343e-05,1.1330e-05,8.7459e-06,7.3163e-08,2.9439e-07,7.7751e-07,5.8143e-06,9.9921e-06,1.1263e-05,9.9919e-06
P1,60.00,180.00,0.00,0.00,7.5333e-08,2.7289e-07,9.1850e-07,5.4197e-06,1.0916e-05,1.0905e-05,7.7181e-06,7.4158e-08,2.4676e-07,6.6788e-07,5.4946e-06,9.6839e-06,1.0861e-05,9.0923e-06
