Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,30.00,135.00,45.00,0.00,9.2392e-07,1.2343e-06,1.3983e-06,3.2409e-08,7.0446e-07,2.4806e-07,9.4040e-07,1.2330e-06,1.3963e-06,2.7582e-08,7.0947e-07,2.4794e-07
P0,0.00,135.00,60.00,0.00,NaN,NaN,NaN,NaN,NaN,2.3399e-07,NaN,NaN,NaN,NaN,NaN,2.3410e-07
P0,30.00,45.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,4.7117e-07,NaN,NaN,NaN,NaN,NaN,4.7136e-07
P0,0.00,0.00,45.00,0.00,9.4046e-07,1.2800e-06,1.4528e-06,3.5537e-08,7.2310e-07,2.5370e-07,9.5708e-07,1.2788e-06,1.4507e-06,3.0582e-08,7.2828e-07,2.5358e-07
P0,45.00,180.00,55.00,0.00,7.1929e-07,9.1037e-07,1.0284e-06,2.1021e-08,5.3459e-07,1.9276e-07,7.3253e-07,9.0902e-07,1.0267e-06,1.7373e-08,5.3832e-07,1.9267e-07
P0,60.00,45.00,55.00,0.00,8.1458e-07,1.1299e-06,1.3628e-06,3.1730e-08,9.0081e-07,3.9101e-07,8.2937e-07,1.1252e-06,1.3591e-06,2.5824e-08,9.0534e-07,3.9116e-07
P0,0.00,135.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,4.6299e-07,NaN,NaN,NaN,NaN,NaN,4.6314e-07
P0,0.00,180.00,45.00,0.00,9.4046e-07,1.2800e-06,1.4528e-06,3.5537e-08,7.2310e-07,2.5370e-07,9.5708e-07,1.2788e-06,1.4507e-06,3.0582e-08,7.2828e-07,2.5358e-07
P0,0.00,45.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,4.6299e-07,NaN,NaN,NaN,NaN,NaN,4.6314e-07
P0,0.00,45.00,60.00,0.00,NaN,NaN,NaN,NaN,NaN,2.3399e-07,NaN,NaN,NaN,NaN,NaN,2.3410e-07
P0,0.00,0.00,60.00,0.00,NaN,NaN,NaN,NaN,NaN,2.3399e-07,NaN,NaN,NaN,NaN,NaN,2.3410e-07
P0,30.00,90.00,45.00,0.00,9.3407e-07,1.2679e-06,1.4463e-06,3.5185e-08,7.4972e-07,2.7116e-07,9.5066e-07,1.2664e-06,1.4440e-06,3.0076e-08,7.5484e-07,2.7106e-07
P0,30.00,135.00,55.00,0.00,7.2095e-07,9.4746e-07,1.0778e-06,2.3414e-08,5.5531e-07,1.9928e-07,7.3398e-07,9.4612e-07,1.0761e-06,1.9601e-08,5.5922e-07,1.9919e-07
P0,45.00,0.00,55.00,0.00,8.1934e-07,1.1494e-06,1.3618e-06,3.6543e-08,8.5140e-07,3.5786e-07,8.3395e-07,1.1460e-06,1.3583e-06,3.0856e-08,8.5589e-07,3.5798e-07
P0,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,4.6299e-07,NaN,NaN,NaN,NaN,NaN,4.6314e-07
P0,0.00,90.00,55.00,0.00,7.2705e-07,9.7833e-07,1.1177e-06,2.5532e-08,5.7163e-07,2.0521e-07,7.4004e-07,9.7698e-07,1.1159e-06,2.1596e-08,5.7566e-07,2.0513e-07
P0,45.00,45.00,45.00,0.00,9.6264e-07,1.3309e-06,1.5464e-06,3.9884e-08,8.8577e-07,3.4781e-07,9.7976e-07,1.3281e-06,1.5432e-06,3.3937e-08,8.9104e-07,3.4782e-07
P0,30.00,45.00,60.00,0.00,NaN,NaN,NaN,NaN,NaN,2.7272e-07,NaN,NaN,NaN,NaN,NaN,2.7287e-07
P0,0.00,90.00,60.00,0.00,NaN,NaN,NaN,NaN,NaN,2.3399e-07,NaN,NaN,NaN,NaN,NaN,2.3410e-07
P0,45.00,45.00,55.00,0.00,7.8126e-07,1.0786e-06,1.2681e-06,3.1935e-08,7.6437e-07,3.1176e-07,7.9526e-07,1.0757e-06,1.2651e-06,2.6811e-08,7.6867e-07,3.1182e-07
P0,30.00,45.00,45.00,0.00,9.5428e-07,1.3145e-06,1.5093e-06,3.8957e-08,8.0825e-07,3.0130e-07,9.7116e-07,1.3126e-06,1.5067e-06,3.3483e-08,8.1350e-07,3.0124e-07
P0,45.00,0.00,45.00,0.00,9.9133e-07,1.3851e-06,1.6176e-06,4.3802e-08,9.5152e-07,3.8233e-07,1.0089e-06,1.3820e-06,1.6139e-06,3.7437e-08,9.5693e-07,3.8239e-07
P0,55.00,45.00,55.00,0.00,8.0475e-07,1.1161e-06,1.3322e-06,3.2508e-08,8.5318e-07,3.6297e-07,8.1928e-07,1.1121e-06,1.3286e-06,2.6857e-08,8.5763e-07,3.6309e-07
P0,60.00,45.00,60.00,0.00,NaN,NaN,NaN,NaN,NaN,3.7710e-07,NaN,NaN,NaN,NaN,NaN,3.7734e-07
P0,30.00,90.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,4.7117e-07,NaN,NaN,NaN,NaN,NaN,4.7136e-07
P0,30.00,135.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,4.7117e-07,NaN,NaN,NaN,NaN,NaN,4.7136e-07
P0,0.00,45.00,30.00,0.00,NaN,NaN,NaN,NaN,NaN,4.0800e-07,NaN,NaN,NaN,NaN,NaN,4.0815e-07
P0,60.00,90.00,30.00,0.00,NaN,NaN,NaN,NaN,NaN,4.3387e-07,NaN,NaN,NaN,NaN,NaN,4.3414e-07
P1,0.00,45.00,55.00,0.00,7.3188e-07,9.4974e-07,1.0037e-06,1.7305e-09,5.6441e-07,1.9125e-07,7.4538e-07,9.5431e-07,1.0211e-06,1.0636e-09,5.6854e-07,1.9128e-07
P1,30.00,0.00,45.00,0.00,9.7159e-07,1.3003e-06,1.3902e-06,2.2117e-09,8.2795e-07,2.9576e-07,9.8929e-07,1.3060e-06,1.4131e-06,1.1707e-09,8.3341e-07,2.9591e-07
P1,45.00,180.00,55.00,0.00,7.2530e-07,8.8746e-07,9.2257e-07,2.2694e-09,5.2714e-07,1.7837e-07,7.3897e-07,8.9185e-07,9.3868e-07,1.7135e-09,5.3097e-07,1.7839e-07
P1,60.00,90.00,55.00,0.00,7.3104e-07,9.3016e-07,1.0005e-06,2.5483e-09,6.5231e-07,2.4390e-07,7.4476e-07,9.3361e-07,1.0173e-06,1.9336e-09,6.5640e-07,2.4406e-07
P1,0.00,135.00,55.00,0.00,7.3188e-07,9.4974e-07,1.0037e-06,1.7305e-09,5.6441e-07,1.9125e-07,7.4538e-07,9.5431e-07,1.0211e-06,1.0636e-09,5.6854e-07,1.9128e-07
P1,0.00,180.00,45.00,0.00,9.4662e-07,1.2401e-06,1.3057e-06,2.0464e-09,7.1454e-07,2.3723e-07,9.6397e-07,1.2464e-06,1.3284e-06,1.1432e-09,7.1983e-07,2.3726e-07
P1,30.00,180.00,30.00,0.00,1.1777e-06,1.5259e-06,1.5945e-06,2.5702e-09,8.5134e-07,2.7536e-07,1.1993e-06,1.5339e-06,1.6228e-06,1.4987e-09,8.5782e-07,2.7522e-07
P1,0.00,45.00,60.00,0.00,6.1791e-07,7.9500e-07,8.4182e-07,1.5592e-09,4.7967e-07,1.6436e-07,6.2938e-07,7.9871e-07,8.5647e-07,1.0220e-09,4.8318e-07,1.6431e-07
P1,45.00,90.00,55.00,0.00,7.3658e-07,9.5199e-07,1.0164e-06,2.0918e-09,6.2575e-07,2.2593e-07,7.5023e-07,9.5600e-07,1.0334e-06,1.4140e-09,6.2988e-07,2.2604e-07
P1,60.00,135.00,55.00,0.00,7.1732e-07,8.5995e-07,8.9708e-07,2.7168e-09,5.4073e-07,1.9016e-07,7.3104e-07,8.6386e-07,9.1278e-07,2.2151e-09,5.4445e-07,1.9022e-07
P1,0.00,180.00,0.00,0.00,1.4400e-06,1.9002e-06,1.9841e-06,2.7330e-09,1.0149e-06,3.2046e-07,1.4663e-06,1.9106e-06,2.0197e-06,1.3448e-09,1.0229e-06,3.2029e-07
P1,0.00,90.00,0.00,0.00,1.4400e-06,1.9002e-06,1.9841e-06,2.7330e-09,1.0149e-06,3.2046e-07,1.4663e-06,1.9106e-06,2.0197e-06,1.3448e-09,1.0229e-06,3.2029e-07
P1,0.00,90.00,55.00,0.00,7.3188e-07,9.4974e-07,1.0037e-06,1.7305e-09,5.6441e-07,1.9125e-07,7.4538e-07,9.5431e-07,1.0211e-06,1.0636e-09,5.6854e-07,1.9128e-07
P1,30.00,135.00,45.00,0.00,9.3038e-07,1.1975e-06,1.2562e-06,2.2184e-09,6.9577e-07,2.3131e-07,9.4755e-07,1.2035e-06,1.2781e-06,1.3813e-09,7.0090e-07,2.3133e-07
P1,55.00,135.00,55.00,0.00,7.1985e-07,8.7700e-07,9.1689e-07,2.4853e-09,5.4703e-07,1.9120e-07,7.3349e-07,8.8105e-07,9.3279e-07,1.9472e-09,5.5082e-07,1.9126e-07
P1,30.00,180.00,55.00,0.00,7.2504e-07,9.1035e-07,9.5160e-07,1.9637e-09,5.3164e-07,1.7727e-07,7.3856e-07,9.1489e-07,9.6828e-07,1.3683e-09,5.3560e-07,1.7728e-07
P1,30.00,135.00,30.00,0.00,1.1800e-06,1.5359e-06,1.6083e-06,2.5474e-09,8.6474e-07,2.8185e-07,1.2016e-06,1.5440e-06,1.6367e-06,1.4537e-09,8.7125e-07,2.8172e-07
P1,30.00,90.00,55.00,0.00,7.3530e-07,9.5391e-07,1.0128e-06,1.8739e-09,5.9421e-07,2.0759e-07,7.4888e-07,9.5824e-07,1.0300e-06,1.1925e-09,5.9835e-07,2.0766e-07
P1,60.00,0.00,55.00,0.00,8.9940e-07,1.2594e-06,1.4247e-06,3.0758e-09,1.0866e-06,4.5918e-07,9.1567e-07,1.2619e-06,1.4457e-06,1.9910e-09,1.0919e-06,4.5980e-07
P1,55.00,90.00,55.00,0.00,7.3433e-07,9.4161e-07,1.0101e-06,2.3502e-09,6.4600e-07,2.3895e-07,7.4803e-07,9.4529e-07,1.0270e-06,1.7024e-09,6.5011e-07,2.3909e-07
P1,45.00,135.00,55.00,0.00,7.2358e-07,9.0065e-07,9.4397e-07,2.1836e-09,5.5042e-07,1.8952e-07,7.3715e-07,9.0492e-07,9.6027e-07,1.5997e-09,5.5432e-07,1.8956e-07
P1,30.00,135.00,55.00,0.00,7.2617e-07,9.2116e-07,9.6750e-07,1.9238e-09,5.4799e-07,1.8518e-07,7.3968e-07,9.2563e-07,9.8432e-07,1.3061e-09,5.5199e-07,1.8521e-07
P1,60.00,0.00,45.00,0.00,1.0178e-06,1.3911e-06,1.5404e-06,3.0994e-09,1.0887e-06,4.3775e-07,1.0364e-06,1.3951e-06,1.5642e-06,1.9644e-09,1.0945e-06,4.3825e-07
P1,30.00,0.00,30.00,0.00,1.2076e-06,1.6102e-06,1.7053e-06,2.5115e-09,9.5925e-07,3.2785e-07,1.2296e-06,1.6180e-06,1.7344e-06,1.2607e-09,9.6599e-07,3.2780e-07
P1,45.00,0.00,55.00,0.00,8.2296e-07,1.1224e-06,1.2323e-06,2.3267e-09,8.4039e-07,3.3215e-07,8.3793e-07,1.1261e-06,1.2511e-06,1.3669e-09,8.4508e-07,3.3249e-07
P1,0.00,45.00,0.00,0.00,1.4400e-06,1.9002e-06,1.9841e-06,2.7330e-09,1.0149e-06,3.2046e-07,1.4663e-06,1.9106e-06,2.0197e-06,1.3448e-09,1.0229e-06,3.2029e-07
P1,30.00,180.00,60.00,0.00,6.1688e-07,7.6457e-07,7.9879e-07,1.8017e-09,4.5017e-07,1.5139e-07,6.2848e-07,7.6832e-07,8.1285e-07,1.3223e-09,4.5354e-07,1.5132e-07
P1,30.00,45.00,55.00,0.00,7.5834e-07,1.0051e-06,1.0788e-06,1.9050e-09,6.5957e-07,2.3968e-07,7.7225e-07,1.0093e-06,1.0965e-06,1.1309e-09,6.6387e-07,2.3982e-07
P1,0.00,135.00,0.00,0.00,1.4400e-06,1.9002e-06,1.9841e-06,2.7330e-09,1.0149e-06,3.2046e-07,1.4663e-06,1.9106e-06,2.0197e-06,1.3448e-09,1.0229e-06,3.2029e-07
P1,45.00,90.00,45.00,0.00,9.2645e-07,1.2076e-06,1.2835e-06,2.3593e-09,7.6438e-07,2.6950e-07,9.4351e-07,1.2130e-06,1.3052e-06,1.4806e-09,7.6954e-07,2.6961e-07
P1,0.00,180.00,30.00,0.00,1.2106e-06,1.5942e-06,1.6707e-06,2.4167e-09,8.8150e-07,2.8486e-07,1.2327e-06,1.6026e-06,1.7002e-06,1.2471e-09,8.8822e-07,2.8472e-07
P1,30.00,90.00,60.00,0.00,6.2488e-07,8.0384e-07,8.5525e-07,1.7074e-09,5.0913e-07,1.7999e-07,6.3650e-07,8.0737e-07,8.6981e-07,1.1530e-09,5.1267e-07,1.7997e-07
P1,45.00,45.00,45.00,0.00,9.6763e-07,1.2953e-06,1.3955e-06,2.4302e-09,8.7484e-07,3.2369e-07,9.8529e-07,1.3006e-06,1.4180e-06,1.3948e-09,8.8028e-07,3.2392e-07
P1,60.00,180.00,60.00,0.00,6.3660e-07,7.2721e-07,7.4373e-07,2.7730e-09,4.3711e-07,1.5144e-07,6.4901e-07,7.3075e-07,7.5691e-07,2.3821e-09,4.4021e-07,1.5139e-07
