Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P1,30.00,0.00,30.00,0.00,1.0530e-07,3.2456e-07,1.0660e-06,5.6867e-06,1.1298e-05,1.1286e-05,8.7366e-06,1.0305e-07,2.9439e-07,7.7750e-07,5.7354e-06,9.9347e-06,1.1217e-05,9.9721e-06
P1,0.00,45.00,0.00,0.00,9.9927e-08,3.3909e-07,1.1069e-06,5.7636e-06,1.1382e-05,1.1369e-05,8.9906e-06,9.7728e-08,3.0782e-07,8.0771e-07,5.8071e-06,9.9937e-06,1.1295e-05,1.0182e-05
P1,30.00,180.00,60.00,0.00,6.8730e-08,3.2455e-07,1.0660e-06,5.6858e-06,1.1298e-05,1.1286e-05,8.7366e-06,6.7978e-08,2.9439e-07,7.7750e-07,5.7344e-06,9.9346e-06,1.1217e-05,9.9721e-06
P1,0.00,135.00,0.00,0.00,9.9927e-08,3.3909e-07,1.1069e-06,5.7636e-06,1.1382e-05,1.1369e-05,8.9906e-06,9.7728e-08,3.0782e-07,8.0771e-07,5.8071e-06,9.9937e-06,1.1295e-05,1.0182e-05
P1,0.00,180.00,30.00,0.00,9.4800e-08,3.3909e-07,1.1069e-06,5.7635e-06,1.1382e-05,1.1369e-05,8.9906e-06,9.2886e-08,3.0782e-07,8.0771e-07,5.8070e-06,9.9937e-06,1.1295e-05,1.0182e-05
P1,30.00,90.00,60.00,0.00,7.6458e-08,3.2455e-07,1.0660e-06,5.6861e-06,1.1298e-05,1.1286e-05,8.7366e-06,7.5486e-08,2.9439e-07,7.7750e-07,5.7347e-06,9.9347e-06,1.1217e-05,9.9721e-06
P1,60.00,180.00,60.00,0.00,6.4974e-08,2.7285e-07,9.1850e-07,5.3236e-06,1.0883e-05,1.0871e-05,7.7144e-06,6.4185e-08,2.4676e-07,6.6789e-07,5.3921e-06,9.6300e-06,1.0825e-05,9.0804e-06
P1,60.00,0.00,0.00,0.00,1.0188e-07,2.7286e-07,9.1850e-07,5.3247e-06,1.0883e-05,1.0871e-05,7.7144e-06,9.9636e-08,2.4676e-07,6.6789e-07,5.3932e-06,9.6302e-06,1.0825e-05,9.0805e-06
P1,0.00,135.00,60.00,0.00,7.3600e-08,3.3908e-07,1.1069e-06,5.7633e-06,1.1382e-05,1.1369e-05,8.9906e-06,7.2754e-08,3.0782e-07,8.0771e-07,5.8068e-06,9.9937e-06,1.1295e-05,1.0182e-05
P1,60.00,45.00,0.00,0.00,1.0188e-07,2.7286e-07,9.1850e-07,5.3247e-06,1.0883e-05,1.0871e-05,7.7144e-06,9.9636e-08,2.4676e-07,6.6789e-07,5.3932e-06,9.6302e-06,1.0825e-05,9.0805e-06
P1,0.00,45.00,30.00,0.00,9.4800e-08,3.3909e-07,1.1069e-06,5.7635e-06,1.1382e-05,1.1369e-05,8.9906e-06,9.2886e-08,3.0782e-07,8.0771e-07,5.8070e-06,9.9937e-06,1.1295e-05,1.0182e-05
P1,0.00,0.00,0.00,0.00,9.9927e-08,3.3909e-07,1.1069e-06,5.7636e-06,1.1382e-05,1.1369e-05,8.9906e-06,9.7728e-08,3.0782e-07,8.0771e-07,5.8071e-06,9.9937e-06,1.1295e-05,1.0182e-05
P1,30.00,45.00,60.00,0.00,8.5183e-08,3.2455e-07,1.0660e-06,5.6866e-06,1.1298e-05,1.1286e-05,8.7366e-06,8.3982e-08,2.9439e-07,7.7750e-07,5.7352e-06,9.9347e-06,1.1217e-05,9.9721e-06
P1,60.00,135.00,60.00,0.00,6.8734e-08,2.7285e-07,9.1850e-07,5.3239e-06,1.0883e-05,1.0871e-05,7.7144e-06,6.7837e-08,2.4676e-07,6.6789e-07,5.3924e-06,9.6300e-06,1.0825e-05,9.0804e-06
P1,0.00,180.00,60.00,0.00,7.3600e-08,3.3908e-07,1.1069e-06,5.7633e-06,1.1382e-05,1.1369e-05,8.9906e-06,7.2754e-08,3.0782e-07,8.0771e-07,5.8068e-06,9.9937e-06,1.1295e-05,1.0182e-05
P1,30.00,135.00,60.00,0.00,7.0621e-08,3.2455e-07,1.0660e-06,5.6859e-06,1.1298e-05,1.1286e-05,8.7366e-06,6.9813e-08,2.9439e-07,7.7750e-07,5.7344e-06,9.9346e-06,1.1217e-05,9.9721e-06
P1,0.00,90.00,60.00,0.00,7.3600e-08,3.3908e-07,1.1069e-06,5.7633e-06,1.1382e-05,1.1369e-05,8.9906e-06,7.2754e-08,3.0782e-07,8.0771e-07,5.8068e-06,9.9937e-06,1.1295e-05,1.0182e-05
P1,30.00,0.00,0.00,0.00,1.0210e-07,3.2456e-07,1.0660e-06,5.6864e-06,1.1298e-05,1.1286e-05,8.7366e-06,9.9808e-08,2.9439e-07,7.7750e-07,5.7350e-06,9.9347e-06,1.1217e-05,9.9721e-06
P1,30.00,90.00,30.00,0.00,9.7675e-08,3.2456e-07,1.0660e-06,5.6864e-06,1.1298e-05,1.1286e-05,8.7366e-06,9.5652e-08,2.9439e-07,7.7750e-07,5.7350e-06,9.9347e-06,1.1217e-05,9.9721e-06
P1,30.00,135.00,0.00,0.00,1.0210e-07,3.2456e-07,1.0660e-06,5.6864e-06,1.1298e-05,1.1286e-05,8.7366e-06,9.9808e-08,2.9439e-07,7.7750e-07,5.7350e-06,9.9347e-06,1.1217e-05,9.9721e-06
P1,60.00,180.00,0.00,0.00,1.0188e-07,2.7286e-07,9.1850e-07,5.3247e-06,1.0883e-05,1.0871e-05,7.7144e-06,9.9636e-08,2.4676e-07,6.6789e-07,5.3932e-06,9.6302e-06,1.0825e-05,9.0805e-06
P1,0.00,0.00,30.00,0.00,9.4800e-08,3.3909e-07,1.1069e-06,5.7635e-06,1.1382e-05,1.1369e-05,8.9906e-06,9.2886e-08,3.0782e-07,8.0771e-07,5.8070e-06,9.9937e-06,1.1295e-05,1.0182e-05
P1,60.00,90.00,30.00,0.00,9.9822e-08,2.7286e-07,9.1850e-07,5.3247e-06,1.0883e-05,1.0871e-05,7.7144e-06,9.7725e-08,2.4676e-07,6.6789e-07,5.3932e-06,9.6302e-06,1.0825e-05,9.0805e-06
P1,30.00,0.00,60.00,0.00,9.0226e-08,3.2455e-07,1.0660e-06,5.6868e-06,1.1298e-05,1.1286e-05,8.7366e-06,8.8901e-08,2.9439e-07,7.7750e-07,5.7355e-06,9.9348e-06,1.1217e-05,9.9721e-06
P1,0.00,90.00,30.00,0.00,9.4800e-08,3.3909e-07,1.1069e-06,5.7635e-06,1.1382e-05,1.1369e-05,8.9906e-06,9.2886e-08,3.0782e-07,8.0771e-07,5.8070e-06,9.9937e-06,1.1295e-05,1.0182e-05
P1,60.00,45.00,30.00,0.00,1.1484e-07,2.7287e-07,9.1850e-07,5.3255e-06,1.0883e-05,1.0871e-05,7.7144e-06,1.1235e-07,2.4676e-07,6.6789e-07,5.3941e-06,9.6303e-06,1.0825e-05,9.0805e-06
P1,30.00,180.00,0.00,0.00,1.0210e-07,3.2456e-07,1.0660e-06,5.6864e-06,1.1298e-05,1.1286e-05,8.7366e-06,9.9808e-08,2.9439e-07,7.7750e-07,5.7350e-06,9.9347e-06,1.1217e-05,9.9721e-06
P1,30.00,45.00,30.00,0.00,1.0283e-07,3.2456e-07,1.0660e-06,5.6866e-06,1.1298e-05,1.1286e-05,8.7366e-06,1.0065e-07,2.9439e-07,7.7750e-07,5.7352e-06,9.9347e-06,1.1217e-05,9.9721e-06
P1,0.00,0.00,60.00,0.00,7.3600e-08,3.3908e-07,1.1069e-06,5.7633e-06,1.1382e-05,1.1369e-05,8.9906e-06,7.2754e-08,3.0782e-07,8.0771e-07,5.8068e-06,9.9937e-06,1.1295e-05,1.0182e-05
P1,30.00,45.00,0.00,0.00,1.0210e-07,3.2456e-07,1.0660e-06,5.6864e-06,1.1298e-05,1.1286e-05,8.7366e-06,9.9808e-08,2.9439e-07,7.7750e-07,5.7350e-06,9.9347e-06,1.1217e-05,9.9721e-06
P1,60.00,0.00,30.00,0.00,1.2351e-07,2.7287e-07,9.1850e-07,5.3259e-06,1.0883e-05,1.0871e-05,7.7144e-06,1.2081e-07,2.4676e-07,6.6789e-07,5.3945e-06,9.6304e-06,1.0826e-05,9.0805e-06
P1,60.00,90.00,0.00,0.00,1.0188e-07,2.7286e-07,9.1850e-07,5.3247e-06,1.0883e-05,1.0871e-05,7.7144e-06,9.9636e-08,2.4676e-07,6.6789e-07,5.3932e-06,9.6302e-06,1.0825e-05,9.0805e-06
P1,60.00,135.00,30.00,0.00,8.9777e-08,2.7286e-07,9.1850e-07,5.3243e-06,1.0883e-05,1.0871e-05,7.7144e-06,8.7961e-08,2.4676e-07,6.6789e-07,5.3928e-06,9.6301e-06,1.0825e-05,9.0804e-06
P1,30.00,90.00,0.00,0.00,1.0210e-07,3.2456e-07,1.0660e-06,5.6864e-06,1.1298e-05,1.1286e-05,8.7366e-06,9.9808e-08,2.9439e-07,7.7750e-07,5.7350e-06,9.9347e-06,1.1217e-05,9.9721e-06
P1,0.00,135.00,30.00,0.00,9.4800e-08,3.3909e-07,1.1069e-06,5.7635e-06,1.1382e-05,1.1369e-05,8.9906e-06,9.2886e-08,3.0782e-07,8.0771e-07,5.8070e-06,9.9937e-06,1.1295e-05,1.0182e-05
P1,60.00,90.00,60.00,0.00,8.2908e-08,2.7285e-07,9.1850e-07,5.3245e-06,1.0883e-05,1.0871e-05,7.7144e-06,8.1627e-08,2.4676e-07,6.6789e-07,5.3930e-06,9.6301e-06,1.0825e-05,9.0804e-06
P1,60.00,0.00,60.00,0.00,1.4847e-07,2.7288e-07,9.1850e-07,5.3285e-06,1.0883e-05,1.0871e-05,7.7144e-06,1.4577e-07,2.4676e-07,6.6789e-07,5.3974e-06,9.6309e-06,1.0826e-05,9.0805e-06
P1,60.00,45.00,60.00,0.00,1.1619e-07,2.7287e-07,9.1850e-07,5.3263e-06,1.0883e-05,1.0871e-05,7.7144e-06,1.1413e-07,2.4676e-07,6.6789e-07,5.3950e-06,9.6305e-06,1.0826e-05,9.0805e-06
P1,60.00,180.00,30.00,0.00,8.6522e-08,2.7286e-07,9.1850e-07,5.3242e-06,1.0883e-05,1.0871e-05,7.7144e-06,8.4802e-08,2.4676e-07,6.6789e-07,5.3927e-06,9.6301e-06,1.0825e-05,9.0804e-06
P1,60.00,135.00,0.00,0.00,1.0188e-07,2.7286e-07,9.1850e-07,5.3247e-06,1.0883e-05,1.0871e-05,7.7144e-06,9.9636e-08,2.4676e-07,6.6789e-07,5.3932e-06,9.6302e-06,1.0825e-05,9.0805e-06
