Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,60.00,135.00,0.00,0.00,7.5523e-07,9.8717e-07,1.1805e-06,9.0457e-09,9.8454e-07,4.7155e-07,7.6870e-07,9.8393e-07,1.1828e-06,6.1644e-09,9.8625e-07,4.7267e-07
P0,30.00,45.00,30.00,0.00,6.1587e-07,8.1398e-07,9.6989e-07,7.5531e-09,7.8788e-07,3.6838e-07,6.2665e-07,8.1152e-07,9.7123e-07,4.8841e-09,7.8889e-07,3.6945e-07
P0,60.00,0.00,0.00,0.00,7.5523e-07,9.8717e-07,1.1805e-06,9.0457e-09,9.8454e-07,4.7155e-07,7.6870e-07,9.8393e-07,1.1828e-06,6.1644e-09,9.8625e-07,4.7267e-07
P0,60.00,0.00,30.00,0.00,6.8390e-07,9.0233e-07,1.0818e-06,8.3044e-09,9.1095e-07,4.3975e-07,6.9608e-07,8.9932e-07,1.0841e-06,5.6970e-09,9.1262e-07,4.4074e-07
P0,60.00,0.00,60.00,0.00,4.8954e-07,6.2560e-07,7.4869e-07,6.6905e-09,6.4123e-07,3.1631e-07,4.9851e-07,6.2331e-07,7.5057e-07,5.0332e-09,6.4276e-07,3.1686e-07
P0,0.00,135.00,30.00,0.00,5.9785e-07,7.8170e-07,9.3076e-07,7.5111e-09,7.4626e-07,3.4509e-07,6.0833e-07,7.7928e-07,9.3195e-07,4.8877e-09,7.4716e-07,3.4614e-07
P0,0.00,90.00,30.00,0.00,5.9785e-07,7.8170e-07,9.3076e-07,7.5111e-09,7.4626e-07,3.4509e-07,6.0833e-07,7.7928e-07,9.3195e-07,4.8877e-09,7.4716e-07,3.4614e-07
P0,60.00,135.00,60.00,0.00,5.0246e-07,6.2586e-07,7.4250e-07,6.8219e-09,6.3170e-07,3.1071e-07,5.1177e-07,6.2368e-07,7.4443e-07,5.2103e-09,6.3323e-07,3.1125e-07
P0,45.00,90.00,0.00,0.00,7.2260e-07,9.4646e-07,1.1251e-06,8.7498e-09,9.1751e-07,4.3041e-07,7.3532e-07,9.4363e-07,1.1268e-06,5.7200e-09,9.1874e-07,4.3176e-07
P0,45.00,90.00,60.00,0.00,4.3027e-07,5.6101e-07,6.6978e-07,5.3734e-09,5.6623e-07,2.7495e-07,4.3800e-07,5.5918e-07,6.7123e-07,3.7958e-09,5.6740e-07,2.7561e-07
P0,45.00,90.00,55.00,0.00,4.8248e-07,6.3065e-07,7.5021e-07,5.9002e-09,6.3061e-07,3.0472e-07,4.9110e-07,6.2873e-07,7.5170e-07,4.0751e-09,6.3179e-07,3.0550e-07
P0,55.00,45.00,45.00,0.00,5.8834e-07,7.7587e-07,9.2648e-07,7.2105e-09,7.8176e-07,3.7834e-07,5.9881e-07,7.7343e-07,9.2833e-07,4.9574e-09,7.8320e-07,3.7931e-07
P0,60.00,180.00,0.00,0.00,7.5523e-07,9.8717e-07,1.1805e-06,9.0457e-09,9.8454e-07,4.7155e-07,7.6870e-07,9.8393e-07,1.1828e-06,6.1644e-09,9.8625e-07,4.7267e-07
P0,0.00,180.00,30.00,0.00,5.9785e-07,7.8170e-07,9.3076e-07,7.5111e-09,7.4626e-07,3.4509e-07,6.0833e-07,7.7928e-07,9.3195e-07,4.8877e-09,7.4716e-07,3.4614e-07
P0,0.00,90.00,0.00,0.00,6.6499e-07,8.6709e-07,1.0355e-06,8.6451e-09,8.2131e-07,3.7573e-07,6.7663e-07,8.6422e-07,1.0367e-06,5.6506e-09,8.2220e-07,3.7692e-07
P0,60.00,90.00,60.00,0.00,4.7469e-07,6.1439e-07,7.3985e-07,6.4495e-09,6.3541e-07,3.1303e-07,4.8335e-07,6.1203e-07,7.4174e-07,4.8239e-09,6.3694e-07,3.1357e-07
P0,0.00,135.00,60.00,0.00,3.7596e-07,4.9200e-07,5.8780e-07,4.4967e-09,4.8732e-07,2.3255e-07,3.8265e-07,4.9042e-07,5.8894e-07,3.0413e-09,4.8822e-07,2.3310e-07
P0,30.00,45.00,0.00,0.00,6.9140e-07,9.0394e-07,1.0761e-06,8.6874e-09,8.6393e-07,3.9987e-07,7.0353e-07,9.0114e-07,1.0775e-06,5.6691e-09,8.6494e-07,4.0109e-07
P0,55.00,180.00,30.00,0.00,7.1291e-07,9.0715e-07,1.0675e-06,8.5780e-09,8.8454e-07,4.2338e-07,7.2572e-07,9.0466e-07,1.0695e-06,5.9242e-09,8.8602e-07,4.2455e-07
P0,45.00,180.00,55.00,0.00,5.1498e-07,6.4509e-07,7.5481e-07,6.3126e-09,6.2836e-07,3.0326e-07,5.2434e-07,6.4340e-07,7.5634e-07,4.4956e-09,6.2954e-07,3.0404e-07
P0,0.00,135.00,0.00,0.00,6.6499e-07,8.6709e-07,1.0355e-06,8.6451e-09,8.2131e-07,3.7573e-07,6.7663e-07,8.6422e-07,1.0367e-06,5.6506e-09,8.2220e-07,3.7692e-07
P0,0.00,45.00,0.00,0.00,6.6499e-07,8.6709e-07,1.0355e-06,8.6451e-09,8.2131e-07,3.7573e-07,6.7663e-07,8.6422e-07,1.0367e-06,5.6506e-09,8.2220e-07,3.7692e-07
P0,0.00,45.00,60.00,0.00,3.7596e-07,4.9200e-07,5.8780e-07,4.4967e-09,4.8732e-07,2.3255e-07,3.8265e-07,4.9042e-07,5.8894e-07,3.0413e-09,4.8822e-07,2.3310e-07
P0,45.00,0.00,30.00,0.00,6.4361e-07,8.5502e-07,1.0196e-06,7.7350e-09,8.4119e-07,3.9827e-07,6.5491e-07,8.5245e-07,1.0212e-06,5.0406e-09,8.4241e-07,3.9947e-07
P0,0.00,0.00,60.00,0.00,3.7596e-07,4.9200e-07,5.8780e-07,4.4967e-09,4.8732e-07,2.3255e-07,3.8265e-07,4.9042e-07,5.8894e-07,3.0413e-09,4.8822e-07,2.3310e-07
P0,55.00,0.00,60.00,0.00,4.6685e-07,6.0278e-07,7.2026e-07,6.1412e-09,6.1433e-07,3.0127e-07,4.7533e-07,6.0070e-07,7.2195e-07,4.4981e-09,6.1571e-07,3.0194e-07
P0,45.00,0.00,55.00,0.00,4.7875e-07,6.3052e-07,7.5196e-07,5.8752e-09,6.3320e-07,3.0621e-07,4.8728e-07,6.2857e-07,7.5344e-07,4.0358e-09,6.3439e-07,3.0699e-07
P0,0.00,0.00,0.00,0.00,6.6499e-07,8.6709e-07,1.0355e-06,8.6451e-09,8.2131e-07,3.7573e-07,6.7663e-07,8.6422e-07,1.0367e-06,5.6506e-09,8.2220e-07,3.7692e-07
P0,55.00,90.00,30.00,0.00,6.8237e-07,8.9298e-07,1.0623e-06,8.1882e-09,8.8565e-07,4.2416e-07,6.9450e-07,8.9028e-07,1.0643e-06,5.5321e-09,8.8713e-07,4.2533e-07
