channel,ch_type,perturbation,perturbation_label,dy_mean,dy_p95,rel_err_mean,dTb_mean,dTb_p95
fy4b_ch09,ir,4.0,delta_K,0.09567794050114387,0.23516845560940192,13.233815831221833,3.4069810052765073,8.737317478527311
fy4b_ch09,ir,5.0,delta_K,0.11963867974564733,0.2939426773010044,16.547975904910892,4.319919166434413,11.129428067413288
fy4a_ch10,ir,0.5,delta_K,0.01724374102689352,0.042368074763859495,1.276161126754276,0.37426906397199555,0.9493698404739643
fy4a_ch10,ir,1.0,delta_K,0.03449145504230552,0.08471830081768335,2.552616283295732,0.749067836364257,1.9000821768566758
fy4a_ch10,ir,2.0,delta_K,0.06893358958032285,0.16932172054768624,5.10158249377801,1.500067881877404,3.809939746976929
fy4a_ch10,ir,3.0,delta_K,0.10351053811085031,0.2541848295993027,7.660525911428713,2.2605224666811914,5.749253197223881
fy4a_ch10,ir,4.0,delta_K,0.13800192707258374,0.3389713505302136,10.21313730428581,3.0295860240098054,7.716123583306437
fy4a_ch10,ir,5.0,delta_K,0.17253066816690008,0.4239202289291442,12.768513024183619,3.816548320496672,9.756625511341442
fy4b_ch10,ir,0.5,delta_K,0.02675445403363643,0.06573601533765924,1.409092723352631,0.4455243762510476,1.12879973086497
fy4b_ch10,ir,1.0,delta_K,0.05349666746225611,0.13141708630114138,2.817540763489643,0.8913182075885748,2.2592885403882472
fy4b_ch10,ir,2.0,delta_K,0.10701766271277152,0.2627831675178725,5.636362813054806,1.7874652784661471,4.533769968348544
fy4b_ch10,ir,3.0,delta_K,0.1605595740657247,0.39432472246538647,8.456286463411706,2.692987884244452,6.845693020621286
fy4b_ch10,ir,4.0,delta_K,0.21399430213529863,0.5256413568243811,11.270565028113529,3.6125075481079354,9.204854514617901
fy4b_ch10,ir,5.0,delta_K,0.26756087066192524,0.6576367160929666,14.091787312483216,4.560324196924626,11.648350747081038
fy4a_ch11,ir,0.5,delta_K,0.049235364403472544,0.1209750044015366,0.9201168476091416,0.44364548730947523,1.1652145255243451
fy4a_ch11,ir,1.0,delta_K,0.09844182677790536,0.24178427712398748,1.8396935703675434,0.8875340902047938,2.3309004952382413
fy4a_ch11,ir,2.0,delta_K,0.19695330774212505,0.483719106411752,3.6806888471631964,1.7792567722099386,4.670371012960341
fy4a_ch11,ir,3.0,delta_K,0.2952404225263872,0.7250832179450879,5.51749113981597,2.6763723025180606,7.020790584176023
fy4a_ch11,ir,4.0,delta_K,0.39391399544026806,0.967654913993953,7.361515611897411,3.582837825596861,9.39242323636664
fy4a_ch11,ir,5.0,delta_K,0.4921111379370084,1.2083392506445634,9.196636490823085,4.485126859339134,11.76552157194861
fy4b_ch12,ir,0.5,delta_K,0.048516651643118795,0.1191998713037046,0.9035925661991606,0.4365548747106963,1.145367808175434
fy4b_ch12,ir,1.0,delta_K,0.09696913022250028,0.23824745858202556,1.8059899488607227,0.8729289618502417,2.288197988353002
fy4b_ch12,ir,2.0,delta_K,0.19393310664099203,0.4766343986776291,3.6118839113161174,1.7492488778217423,4.586953047265939
fy4b_ch12,ir,3.0,delta_K,0.29096528407555644,0.7148168599117735,5.419048075424829,2.634458787267145,6.900368189800831
fy4b_ch12,ir,4.0,delta_K,0.38803266007648063,0.9531491530694998,7.226867791015897,3.533106762105265,9.238856134253664
fy4b_ch12,ir,5.0,delta_K,0.48480714994369634,1.1903571682534162,9.02923268389767,4.44327924381034,11.602535842313964
fy4a_ch12,ir,0.5,delta_K,0.04630078214011225,0.11376145780145831,0.7601639233726303,0.4435531556306379,1.1286031327953279
fy4a_ch12,ir,1.0,delta_K,0.09257579121062075,0.22730557975919274,1.5199047057786985,0.8870081201969786,2.2560937697421406
fy4a_ch12,ir,2.0,delta_K,0.18513484134271108,0.4548146954158153,3.0395345573681385,1.7754003200238337,4.516785321811434
fy4a_ch12,ir,3.0,delta_K,0.277705395308985,0.6818605284532152,4.559353278331326,2.6669095941196486,6.781545685908403
fy4a_ch12,ir,4.0,delta_K,0.3704111424885708,0.9098976173683606,6.081391594702935,3.5649557050151293,9.070286106968327
fy4a_ch12,ir,5.0,delta_K,0.46291693871010653,1.1372843227904457,7.600147126254764,4.4643408122744965,11.358260034142319
fy4b_ch13,ir,0.5,delta_K,0.046102035722740894,0.11327913658619546,0.6419686231914521,0.393148710989686,0.9902360289185678
fy4b_ch13,ir,1.0,delta_K,0.09225048215551794,0.22657068929896354,1.2845835132810175,0.7867432373518342,1.9814585900635702
fy4b_ch13,ir,2.0,delta_K,0.1843858750985583,0.4530030576691791,2.5675644148309016,1.573357882696749,3.9636101285638317
fy4b_ch13,ir,3.0,delta_K,0.2765990341519775,0.6793832110867297,3.8516282057158917,2.3617108179646413,5.951090467898185
fy4b_ch13,ir,4.0,delta_K,0.3686179885355174,0.905565351705121,5.132987705942449,3.1508888838957794,7.942311747903943
fy4b_ch13,ir,5.0,delta_K,0.46088718276924007,1.1317972146007629,6.417831784009681,3.9443895182640794,9.943026993666717
fy4a_ch13,ir,0.5,delta_K,0.03837455500768436,0.09427344691248694,0.6669875325030533,0.4185802591510417,1.0536567016371725
fy4a_ch13,ir,1.0,delta_K,0.07677714307682315,0.18853847524648792,1.3344623072030326,0.8376692393660179,2.1080627469419446
fy4a_ch13,ir,2.0,delta_K,0.15356281783038614,0.3773523565884364,2.669072903344287,1.6760197683933578,4.221209685975418
fy4a_ch13,ir,3.0,delta_K,0.23038824776481262,0.565868130711815,4.004374483654166,2.516423823397087,6.338441797045102
fy4a_ch13,ir,4.0,delta_K,0.30715029928774334,0.7542759646706287,5.338574484798136,3.3586604967815537,8.46017453089315
fy4a_ch13,ir,5.0,delta_K,0.3837978454986206,0.943100727242942,6.670784270927762,4.203024736659787,10.590891564538921
fy4b_ch14,ir,0.5,delta_K,0.03796906634216927,0.09326433034932421,0.6536485155973609,0.4113454754349439,1.0345900240515389
fy4b_ch14,ir,1.0,delta_K,0.07595461187586586,0.1865860091736421,1.3075807252677603,0.8228970706972158,2.069354040683623
fy4b_ch14,ir,2.0,delta_K,0.15188923119976974,0.3733686645227574,2.6148172729411816,1.6462888284885013,4.14340315118043
fy4b_ch14,ir,3.0,delta_K,0.22770445404990972,0.5594067799793078,3.9199983756073427,2.469757252706967,6.2157972409669116
fy4b_ch14,ir,4.0,delta_K,0.30373378679411844,0.7460151873721617,5.2288654423467715,3.297843898017421,8.302228961942088
fy4b_ch14,ir,5.0,delta_K,0.37975506189759417,0.9330071049519103,6.537593794458433,4.128970931850649,10.39638388379623
fy4a_ch14,ir,0.5,delta_K,0.0301425931658803,0.07505057807602723,0.7060360637484084,0.4464557048062768,1.1534707465351017
fy4a_ch14,ir,1.0,delta_K,0.0602883897140586,0.1501374309395761,1.4121471609690837,0.8932030080045772,2.308508004854875
fy4a_ch14,ir,2.0,delta_K,0.12060295742320948,0.30028379488919077,2.8249074944183867,1.788216566301575,4.624816205029743
fy4a_ch14,ir,3.0,delta_K,0.1808996205593981,0.45049339308195135,4.23724844542943,2.686084444687382,6.951101366758256
fy4a_ch14,ir,4.0,delta_K,0.24110631771191038,0.6005353288771798,5.647482104986268,3.5872865364513613,9.293818354963786
fy4a_ch14,ir,5.0,delta_K,0.3015598582926655,0.7510214682318669,7.06349762814985,4.49913251527424,11.67593248388504
fy4b_ch15,ir,0.5,delta_K,0.023280660537070914,0.05821559489221592,0.6393248063629446,0.3576371305267657,0.8790054419632382
fy4b_ch15,ir,1.0,delta_K,0.04656717505202443,0.11645888021914116,1.2788103724805484,0.7153650452065028,1.757405654624223
fy4b_ch15,ir,2.0,delta_K,0.09310760807404138,0.23280439335246178,2.5568863653188587,1.4302144445112692,3.5143613836136067
fy4b_ch15,ir,3.0,delta_K,0.13957846161429618,0.349234981763462,3.8330515924109148,2.1439992049801386,5.271205877898293
fy4b_ch15,ir,4.0,delta_K,0.18616160231315834,0.4659307723591918,5.112300407523137,2.858804866899053,7.028788127005302
fy4b_ch15,ir,5.0,delta_K,0.23271744125277546,0.5824729593467896,6.39079947191781,3.5732072841166227,8.778804147341626
